ID,MaterialType
31654,BOOK
31655,VIDEOCASS
31656,SOUNDDISC
31657,BOOK
31658,VIDEOCASS
31659,BOOK
31660,SOUNDDISC
31661,BOOK
31662,BOOK
31663,BOOK
31664,VIDEOCASS
31665,BOOK
31666,BOOK
31667,BOOK
31668,BOOK
31669,BOOK
31670,BOOK
31671,BOOK
31672,SOUNDDISC
31673,BOOK
31674,BOOK
31675,BOOK
31676,BOOK
31677,BOOK
31678,BOOK
31679,BOOK
31680,BOOK
31681,MIXED
31682,BOOK
31683,BOOK
31684,BOOK
31685,BOOK
31686,BOOK
31687,BOOK
31688,BOOK
31689,BOOK
31690,SOUNDDISC
31691,SOUNDDISC
31692,BOOK
31693,BOOK
31694,BOOK
31695,BOOK
31696,BOOK
31697,VIDEOCASS
31698,BOOK
31699,VIDEODISC
31700,BOOK
31701,BOOK
31702,BOOK
31703,BOOK
31704,BOOK
31705,BOOK
31706,SOUNDDISC
31707,BOOK
31708,BOOK
31709,BOOK
31710,BOOK
31711,BOOK
31712,SOUNDDISC
31713,BOOK
31714,BOOK
31715,BOOK
31716,SOUNDDISC
31717,VIDEOCASS
31718,BOOK
31719,VIDEODISC
31720,BOOK
31721,BOOK
31722,MIXED
31723,BOOK
31724,BOOK
31725,BOOK
31726,BOOK
31727,BOOK
31728,BOOK
31729,BOOK
31730,BOOK
31731,BOOK
31732,BOOK
31733,BOOK
31734,BOOK
31735,BOOK
31736,BOOK
31737,VIDEOCASS
31738,BOOK
31739,BOOK
31740,BOOK
31741,VIDEOCASS
31742,MUSIC
31743,BOOK
31744,BOOK
31745,BOOK
31746,BOOK
31747,VIDEODISC
31748,SOUNDDISC
31749,VIDEOCASS
31750,CR
31751,BOOK
31752,BOOK
31753,BOOK
31754,BOOK
31755,BOOK
31756,VIDEOCASS
31757,BOOK
31758,VIDEOCASS
31759,BOOK
31760,BOOK
31761,BOOK
31762,BOOK
31763,BOOK
31764,SOUNDDISC
31765,BOOK
31766,BOOK
31767,BOOK
31768,SOUNDDISC
31769,VIDEODISC
31770,BOOK
31771,BOOK
31772,BOOK
31773,VIDEOCASS
31774,BOOK
31775,BOOK
31776,BOOK
31777,BOOK
31778,VIDEOCASS
31779,BOOK
31780,BOOK
31781,BOOK
31782,BOOK
31783,BOOK
31784,BOOK
31785,BOOK
31786,BOOK
31787,VIDEOCASS
31788,BOOK
31789,BOOK
31790,BOOK
31791,BOOK
31792,BOOK
31793,BOOK
31794,BOOK
31795,VIDEOCASS
31796,BOOK
31797,BOOK
31798,BOOK
31799,BOOK
31800,BOOK
31801,VIDEODISC
31802,BOOK
31803,BOOK
31804,BOOK
31805,BOOK
31806,BOOK
31807,VIDEOCASS
31808,BOOK
31809,SOUNDDISC
31810,VIDEOCASS
31811,BOOK
31812,BOOK
31813,BOOK
31814,BOOK
31815,BOOK
31816,SOUNDDISC
31817,BOOK
31818,BOOK
31819,SOUNDDISC
31820,BOOK
31821,BOOK
31822,BOOK
31823,BOOK
31824,VIDEOCASS
31825,BOOK
31826,BOOK
31827,BOOK
31828,BOOK
31829,BOOK
31830,BOOK
31831,BOOK
31832,VIDEOCASS
31833,BOOK
31834,BOOK
31835,BOOK
31836,BOOK
31837,BOOK
31838,VIDEOCASS
31839,BOOK
31840,BOOK
31841,VIDEOCASS
31842,SOUNDDISC
31843,VIDEODISC
31844,BOOK
31845,BOOK
31846,BOOK
31847,BOOK
31848,BOOK
31849,BOOK
31850,VIDEOCASS
31851,SOUNDCASS
31852,VIDEOCASS
31853,BOOK
31854,BOOK
31855,BOOK
31856,BOOK
31857,BOOK
31858,VIDEODISC
31859,SOUNDDISC
31860,SOUNDDISC
31861,BOOK
31862,BOOK
31863,VIDEOCASS
31864,BOOK
31865,VIDEODISC
31866,BOOK
31867,BOOK
31868,BOOK
31869,VIDEODISC
31870,BOOK
31871,BOOK
31872,BOOK
31873,BOOK
31874,SOUNDDISC
31875,BOOK
31876,VIDEODISC
31877,BOOK
31878,BOOK
31879,BOOK
31880,SOUNDDISC
31881,BOOK
31882,SOUNDDISC
31883,BOOK
31884,BOOK
31885,MIXED
31886,BOOK
31887,BOOK
31888,BOOK
31889,BOOK
31890,BOOK
31891,BOOK
31892,BOOK
31893,BOOK
31894,BOOK
31895,BOOK
31896,BOOK
31897,BOOK
31898,VIDEOCASS
31899,BOOK
31900,BOOK
31901,SOUNDDISC
31902,VIDEOCASS
31903,BOOK
31904,SOUNDDISC
31905,VIDEODISC
31906,BOOK
31907,BOOK
31908,VIDEODISC
31909,VIDEOCASS
31910,BOOK
31911,SOUNDDISC
31912,BOOK
31913,VIDEOCASS
31914,BOOK
31915,BOOK
31916,VIDEOCASS
31917,BOOK
31918,BOOK
31919,BOOK
31920,BOOK
31921,BOOK
31922,BOOK
31923,BOOK
31924,BOOK
31925,BOOK
31926,BOOK
31927,BOOK
31928,VIDEODISC
31929,BOOK
31930,SOUNDDISC
31931,VIDEOCASS
31932,SOUNDDISC
31933,BOOK
31934,MIXED
31935,BOOK
31936,BOOK
31937,BOOK
31938,BOOK
31939,SOUNDDISC
31940,BOOK
31941,VIDEOCASS
31942,BOOK
31943,BOOK
31944,VIDEODISC
31945,BOOK
31946,BOOK
31947,BOOK
31948,VIDEODISC
31949,MIXED
31950,VIDEOCASS
31951,BOOK
